Date,Region,Market,Store Type,Product Category,Collection Type,Product Family,SKU,Units Sold,Revenue,Average Selling Price,Inventory Units,Sell Through Rate,Gross Margin %,Return Rate,Customer Segment,Channel,Visual Merchandising Score,Stockout Flag,Promotion Flag
2023-05-01,North America,USA,Boutique,Accessories,Core,Sunglasses,LX-AC-01017,13,8442.82,636.09,5,0.6991,0.7096,0.0552,High Value,Retail,8.4,0,0
2023-12-24,Middle East,UAE,E-commerce,Ready-to-Wear,Core,Dress,LX-RE-01018,25,55612.11,2325.65,9,0.7225,0.5321,0.21,Returning Client,E-commerce,4.1,0,1
2024-11-30,Asia-Pacific,Japan,E-commerce,Women's Shoes,Core,Sneaker,LX-WO-01019,35,33041.88,955.52,14,0.7021,0.5657,0.1761,New Client,E-commerce,6.2,0,0
2023-12-26,North America,USA,Department Store,Ready-to-Wear,Limited Edition,Coat,LX-RE-01020,18,53205.08,2849.0,1,0.9277,0.6303,0.0533,Returning Client,Clienteling,9.5,0,0
2024-02-10,Europe,France,Boutique,Leather Goods,Core,Wallet,LX-LE-01021,14,27593.29,1973.91,3,0.7876,0.6968,0.0592,High Value,Clienteling,6.9,0,0
2024-04-10,Asia-Pacific,South Korea,Flagship,Ready-to-Wear,Limited Edition,Knitwear,LX-RE-01022,16,59670.84,3568.83,2,0.8833,0.6451,0.1869,High Value,E-commerce,10.0,0,0
2024-05-11,Asia-Pacific,South Korea,Flagship,Accessories,Seasonal,Jewellery,LX-AC-01023,38,23530.26,632.5,19,0.6647,0.7294,0.0414,Returning Client,Retail,5.6,0,0
2024-08-07,Asia-Pacific,South Korea,Department Store,Men's Shoes,Core,Derby,LX-ME-01024,24,21096.3,863.47,14,0.627,0.5775,0.1902,New Client,E-commerce,8.2,0,0
2024-07-01,Europe,UK,Department Store,Women's Shoes,Core,Pump,LX-WO-01025,17,15317.4,916.14,6,0.709,0.643,0.0684,New Client,Clienteling,5.9,0,1
2024-04-09,Europe,Italy,Boutique,Ready-to-Wear,Limited Edition,Dress,LX-RE-01026,12,34913.18,3755.39,0,0.9277,0.6205,0.0562,Returning Client,Retail,7.4,1,1
2023-04-23,Europe,UK,Boutique,Accessories,Seasonal,Belt,LX-AC-01027,14,8628.42,624.75,9,0.6034,0.7151,0.059,Returning Client,Retail,6.1,0,0
2023-09-08,North America,USA,Department Store,Leather Goods,Seasonal,Tote,LX-LE-01028,17,31384.94,1832.43,8,0.6606,0.6942,0.2278,Returning Client,E-commerce,7.5,0,0
2023-03-26,Asia-Pacific,China,Department Store,Men's Shoes,Seasonal,Oxford,LX-ME-01029,19,21147.21,943.94,4,0.7976,0.5923,0.0802,VIC,E-commerce,5.6,0,0
2023-08-16,Middle East,UAE,E-commerce,Men's Shoes,Limited Edition,Loafer,LX-ME-01030,12,14389.78,1165.92,1,0.9035,0.6393,0.198,Returning Client,E-commerce,8.9,0,0
2023-11-13,North America,USA,Flagship,Leather Goods,Limited Edition,Handbag,LX-LE-01031,17,48851.62,2749.88,1,0.9197,0.695,0.0497,Returning Client,Retail,10.0,0,0
2024-11-10,Asia-Pacific,China,Department Store,Accessories,Core,Silk Scarf,LX-AC-01032,31,22541.01,702.88,7,0.7953,0.7446,0.0635,Returning Client,Retail,9.3,0,0
2023-10-13,North America,USA,Boutique,Leather Goods,Core,Handbag,LX-LE-01033,6,10820.71,1776.8,3,0.6351,0.7056,0.1682,New Client,E-commerce,8.0,0,1
2024-03-28,Europe,France,Department Store,Accessories,Runway,Jewellery,LX-AC-01034,20,21566.1,1057.68,9,0.6848,0.7339,0.1773,Returning Client,E-commerce,8.3,0,0
2024-07-01,Middle East,UAE,Boutique,Accessories,Limited Edition,Jewellery,LX-AC-01035,14,11613.22,922.33,0,0.9585,0.7776,0.0434,Returning Client,Retail,7.8,1,0
2024-07-10,Asia-Pacific,South Korea,Flagship,Women's Shoes,Core,Sandal,LX-WO-01036,26,28981.56,1131.65,9,0.741,0.6041,0.2041,High Value,E-commerce,6.0,0,0
2023-06-23,Europe,UK,E-commerce,Leather Goods,Seasonal,Wallet,LX-LE-01037,12,22794.77,1905.28,5,0.6791,0.6313,0.1205,New Client,Retail,6.8,0,1
2023-04-10,Middle East,UAE,Boutique,Men's Shoes,Seasonal,Derby,LX-ME-01038,16,15245.12,967.33,8,0.6528,0.5919,0.0427,Returning Client,Clienteling,6.0,0,1
2023-11-03,North America,USA,Department Store,Ready-to-Wear,Core,Dress,LX-RE-01039,36,81485.04,2207.19,10,0.776,0.5695,0.2139,New Client,E-commerce,8.7,0,0
2023-01-02,Asia-Pacific,China,Boutique,Ready-to-Wear,Core,Blazer,LX-RE-01040,9,22031.09,2397.55,2,0.7771,0.5786,0.0798,High Value,Clienteling,8.4,0,0
2023-08-21,Middle East,UAE,Department Store,Leather Goods,Seasonal,Handbag,LX-LE-01041,28,52859.16,1879.37,9,0.7515,0.6525,0.1423,High Value,E-commerce,7.3,0,0
2023-02-14,Europe,France,Flagship,Women's Shoes,Core,Sneaker,LX-WO-01042,6,6834.66,1128.95,2,0.7468,0.6205,0.0596,Returning Client,Retail,7.6,0,0
2023-09-01,Asia-Pacific,China,Boutique,Men's Shoes,Core,Loafer,LX-ME-01043,8,7217.42,920.12,4,0.6543,0.6127,0.1339,Returning Client,E-commerce,5.7,0,0
2024-03-28,Europe,UK,Flagship,Women's Shoes,Core,Boot,LX-WO-01044,23,26734.61,1112.32,8,0.7215,0.6364,0.1986,High Value,E-commerce,10.0,0,0
2023-08-21,Middle East,UAE,Boutique,Women's Shoes,Limited Edition,Pump,LX-WO-01045,12,16559.2,1345.62,2,0.8435,0.6399,0.2063,New Client,E-commerce,8.7,0,0
2024-08-02,Asia-Pacific,China,Boutique,Men's Shoes,Core,Oxford,LX-ME-01046,16,14896.18,897.36,6,0.7021,0.6051,0.0451,Returning Client,Retail,9.5,0,0
2023-09-08,North America,USA,Department Store,Women's Shoes,Core,Sandal,LX-WO-01047,20,19306.13,975.55,10,0.6627,0.6039,0.075,Returning Client,Retail,6.3,0,0
2024-06-07,North America,USA,Boutique,Accessories,Limited Edition,Sunglasses,LX-AC-01048,12,8600.03,927.84,0,0.9475,0.7545,0.1631,Returning Client,E-commerce,7.0,1,0
2023-09-08,Middle East,UAE,Flagship,Accessories,Limited Edition,Silk Scarf,LX-AC-01049,13,12870.33,1213.58,0,0.9509,0.7363,0.0762,New Client,Retail,10.0,1,1
2024-06-09,Asia-Pacific,Japan,E-commerce,Women's Shoes,Core,Sneaker,LX-WO-01050,15,13285.25,906.07,5,0.7297,0.6161,0.1453,New Client,Retail,5.5,0,0
2023-12-12,Europe,Italy,Department Store,Women's Shoes,Runway,Sandal,LX-WO-01051,28,38375.63,1408.59,19,0.5894,0.6181,0.0504,High Value,Retail,5.2,0,0
2023-08-17,Middle East,UAE,Department Store,Accessories,Core,Belt,LX-AC-01052,23,16493.27,731.36,3,0.8656,0.7472,0.0429,High Value,Retail,5.7,0,0
2023-03-01,North America,USA,Flagship,Ready-to-Wear,Seasonal,Knitwear,LX-RE-01053,13,32768.79,2426.06,7,0.6323,0.5743,0.0704,Returning Client,Retail,9.6,0,0
2024-09-09,Europe,France,Flagship,Ready-to-Wear,Core,Blazer,LX-RE-01054,7,18855.81,2685.63,2,0.7108,0.5649,0.0498,High Value,Retail,7.2,0,0
2023-09-21,Asia-Pacific,South Korea,Boutique,Men's Shoes,Seasonal,Loafer,LX-ME-01055,5,4040.22,820.35,1,0.7314,0.5798,0.0622,Returning Client,Retail,6.0,0,0
2024-03-19,Europe,Italy,E-commerce,Women's Shoes,Core,Sneaker,LX-WO-01056,5,4823.37,1010.13,1,0.773,0.5692,0.1873,Returning Client,Retail,4.0,0,0
2023-07-29,Asia-Pacific,South Korea,Department Store,Accessories,Core,Jewellery,LX-AC-01057,17,10387.23,624.12,4,0.797,0.6937,0.0583,New Client,Retail,5.6,0,0
2024-06-14,Asia-Pacific,Japan,E-commerce,Men's Shoes,Core,Loafer,LX-ME-01058,17,13600.93,820.99,8,0.676,0.5807,0.1893,Returning Client,E-commerce,5.3,0,0
2023-08-09,Middle East,UAE,Boutique,Ready-to-Wear,Seasonal,Blazer,LX-RE-01059,6,15071.55,2523.28,2,0.7327,0.5752,0.0659,New Client,Retail,6.7,0,0
2024-05-02,North America,USA,Flagship,Accessories,Core,Belt,LX-AC-01060,33,22714.84,693.53,9,0.771,0.7301,0.1414,Returning Client,E-commerce,6.5,0,0
2024-05-27,Middle East,UAE,Flagship,Women's Shoes,Seasonal,Boot,LX-WO-01061,21,24918.77,1135.51,15,0.5751,0.6425,0.1866,New Client,E-commerce,10.0,0,0
2023-09-01,North America,USA,Boutique,Men's Shoes,Seasonal,Sneaker,LX-ME-01062,28,27780.89,987.73,8,0.7704,0.6158,0.0592,High Value,Clienteling,7.3,0,0
2024-04-24,Asia-Pacific,South Korea,Boutique,Men's Shoes,Seasonal,Loafer,LX-ME-01063,26,23521.63,922.67,19,0.5653,0.6179,0.0736,Returning Client,Retail,5.7,0,0
2023-04-23,Europe,France,E-commerce,Men's Shoes,Core,Sneaker,LX-ME-01064,30,27806.64,913.19,9,0.7615,0.5931,0.1776,Returning Client,E-commerce,8.0,0,0
2024-04-21,North America,USA,Boutique,Women's Shoes,Seasonal,Sneaker,LX-WO-01065,23,21203.17,946.0,6,0.7767,0.6177,0.057,New Client,Clienteling,5.3,0,0
2024-08-22,North America,USA,Department Store,Accessories,Limited Edition,Jewellery,LX-AC-01066,4,4102.27,1014.91,0,0.9052,0.7358,0.0461,Returning Client,Retail,7.7,0,1
2024-06-29,Europe,Italy,Flagship,Women's Shoes,Limited Edition,Sandal,LX-WO-01067,11,31438.61,1995.85,1,0.9061,0.6603,0.0986,VIC,E-commerce,7.5,0,0
2023-05-09,Asia-Pacific,South Korea,Flagship,Women's Shoes,Core,Pump,LX-WO-01068,37,40059.38,1087.58,12,0.7543,0.6485,0.0749,New Client,Retail,6.7,0,0
2023-12-05,Europe,Italy,Department Store,Women's Shoes,Seasonal,Boot,LX-WO-01069,2,1888.24,945.54,1,0.6291,0.6355,0.2086,New Client,E-commerce,6.9,0,1
2024-05-08,Europe,France,Boutique,Leather Goods,Seasonal,Tote,LX-LE-01070,18,55938.39,2349.53,6,0.7418,0.6629,0.0334,VIC,Retail,6.0,0,0
2024-04-20,Europe,UK,Flagship,Leather Goods,Seasonal,Handbag,LX-LE-01071,35,69452.63,1898.91,18,0.6493,0.6623,0.0755,High Value,Retail,10.0,0,1
2024-07-04,Europe,Italy,Flagship,Accessories,Limited Edition,Jewellery,LX-AC-01072,12,15022.79,1197.99,1,0.9183,0.7599,0.0597,New Client,Retail,10.0,0,0
2023-05-22,North America,USA,Flagship,Ready-to-Wear,Core,Blazer,LX-RE-01073,25,62490.4,2477.32,6,0.8003,0.606,0.0557,High Value,Clienteling,7.6,0,0
2023-08-23,North America,USA,Department Store,Leather Goods,Seasonal,Wallet,LX-LE-01074,16,25618.87,1618.17,9,0.6371,0.6838,0.0702,Returning Client,Retail,6.3,0,0
2023-02-08,Middle East,UAE,Boutique,Accessories,Seasonal,Jewellery,LX-AC-01075,19,14797.05,752.82,6,0.736,0.6916,0.0697,New Client,Retail,9.3,0,0
2023-08-30,North America,USA,Flagship,Women's Shoes,Limited Edition,Sneaker,LX-WO-01076,11,13110.35,1503.51,0,0.99,0.6813,0.0475,New Client,Retail,9.4,1,0
2024-11-13,Asia-Pacific,South Korea,Boutique,Men's Shoes,Runway,Derby,LX-ME-01077,15,16703.95,1074.9,5,0.7427,0.5871,0.0522,Returning Client,Retail,9.4,0,1
2024-07-31,North America,USA,Boutique,Leather Goods,Core,Tote,LX-LE-01078,17,28987.77,1733.77,6,0.7307,0.6629,0.0456,Returning Client,Retail,5.9,0,0
2024-12-12,Europe,Italy,Boutique,Ready-to-Wear,Limited Edition,Dress,LX-RE-01079,7,49776.53,4594.04,0,0.8754,0.6081,0.0879,VIC,E-commerce,9.7,0,0
2024-09-28,Europe,France,Flagship,Women's Shoes,Core,Sneaker,LX-WO-01080,25,27705.13,1109.87,12,0.6717,0.6072,0.0786,Returning Client,Clienteling,6.9,0,0
2023-04-03,Asia-Pacific,China,Department Store,Ready-to-Wear,Runway,Coat,LX-RE-01081,15,49952.55,3330.17,8,0.6422,0.5732,0.0545,New Client,Retail,7.0,0,1
2023-08-19,Europe,UK,Department Store,Accessories,Runway,Belt,LX-AC-01082,6,5005.6,844.4,4,0.5953,0.7462,0.0791,Returning Client,Retail,6.2,0,1
2024-10-28,Europe,UK,Flagship,Women's Shoes,Seasonal,Sandal,LX-WO-01083,29,31214.79,1057.34,18,0.6156,0.6036,0.1929,Returning Client,E-commerce,8.2,0,0
2024-07-14,Europe,UK,Boutique,Women's Shoes,Seasonal,Boot,LX-WO-01084,19,17733.23,926.38,13,0.5821,0.6199,0.0608,Returning Client,Retail,7.5,0,1
2024-06-19,North America,USA,E-commerce,Women's Shoes,Seasonal,Sandal,LX-WO-01085,16,13719.09,851.06,4,0.7928,0.6138,0.1405,Returning Client,Retail,7.5,0,1
2024-04-05,Asia-Pacific,South Korea,Department Store,Leather Goods,Limited Edition,Clutch,LX-LE-01086,14,31373.9,2802.39,0,0.948,0.7342,0.1654,Returning Client,E-commerce,8.7,1,0
2024-08-08,Asia-Pacific,Japan,Department Store,Men's Shoes,Core,Sneaker,LX-ME-01087,6,5088.61,829.44,2,0.7025,0.623,0.0704,High Value,Clienteling,8.5,0,0
2024-05-31,North America,USA,Boutique,Ready-to-Wear,Core,Blazer,LX-RE-01088,17,39210.78,2236.08,8,0.66,0.5969,0.0699,Returning Client,Retail,9.1,0,0
2023-12-08,Asia-Pacific,China,Boutique,Men's Shoes,Core,Oxford,LX-ME-01089,8,7148.77,904.45,4,0.6661,0.5882,0.0548,Returning Client,Retail,6.2,0,0
2024-09-25,Middle East,UAE,Boutique,Men's Shoes,Seasonal,Oxford,LX-ME-01090,12,12955.46,1066.82,9,0.5494,0.5986,0.1758,New Client,E-commerce,7.8,0,0
2024-05-02,Asia-Pacific,Japan,Flagship,Accessories,Limited Edition,Silk Scarf,LX-AC-01091,20,22293.93,1123.12,1,0.9471,0.7634,0.0519,New Client,Clienteling,6.5,0,1
2023-06-14,Middle East,UAE,Boutique,Women's Shoes,Seasonal,Sneaker,LX-WO-01092,21,21321.82,974.4,6,0.7605,0.6041,0.051,High Value,Retail,9.8,0,1
2024-07-20,Europe,France,Boutique,Leather Goods,Core,Clutch,LX-LE-01093,18,35405.55,1949.43,4,0.7965,0.6523,0.0483,New Client,Retail,7.6,0,0
2024-02-16,Europe,France,Boutique,Men's Shoes,Core,Derby,LX-ME-01094,13,12319.84,947.68,3,0.7782,0.629,0.0565,High Value,Retail,7.0,0,0
2023-12-08,Europe,UK,Department Store,Accessories,Core,Belt,LX-AC-01095,10,6422.87,648.12,2,0.8261,0.7382,0.0506,High Value,Retail,6.4,0,0
2023-07-06,Europe,France,E-commerce,Leather Goods,Core,Wallet,LX-LE-01096,1,1778.52,1880.04,0,0.7276,0.6711,0.177,New Client,Retail,3.4,0,0
2024-11-16,Asia-Pacific,Japan,Flagship,Accessories,Limited Edition,Silk Scarf,LX-AC-01097,2,2410.06,1173.35,0,0.838,0.7602,0.0602,New Client,Retail,8.8,0,0
2024-05-09,Middle East,UAE,Flagship,Ready-to-Wear,Limited Edition,Dress,LX-RE-01098,4,14963.8,4433.71,0,0.9555,0.5956,0.0565,Returning Client,Retail,10.0,1,0
2024-07-16,Middle East,UAE,E-commerce,Ready-to-Wear,Core,Blazer,LX-RE-01099,12,27358.53,2236.27,3,0.7774,0.5497,0.1383,Returning Client,E-commerce,8.3,0,0
2023-07-08,Middle East,UAE,Flagship,Men's Shoes,Limited Edition,Derby,LX-ME-01100,12,15200.85,1592.49,0,0.986,0.6481,0.2008,New Client,E-commerce,8.3,1,0
2023-05-04,Asia-Pacific,China,Department Store,Women's Shoes,Seasonal,Sandal,LX-WO-01101,27,30829.1,1094.22,19,0.5856,0.5972,0.0429,High Value,Clienteling,9.9,0,1
2024-04-05,Europe,Italy,Boutique,Ready-to-Wear,Limited Edition,Blazer,LX-RE-01102,14,50759.88,3509.88,1,0.9,0.6056,0.1421,New Client,E-commerce,9.2,0,0
2023-11-27,Asia-Pacific,Japan,E-commerce,Ready-to-Wear,Limited Edition,Blazer,LX-RE-01103,15,49101.45,3283.28,1,0.9287,0.5966,0.1553,Returning Client,Retail,6.8,0,0
2023-06-12,Europe,UK,Boutique,Leather Goods,Core,Clutch,LX-LE-01104,22,40279.0,1762.14,6,0.7688,0.6784,0.1847,Returning Client,E-commerce,9.6,0,0
2023-02-22,North America,USA,Department Store,Ready-to-Wear,Limited Edition,Blazer,LX-RE-01105,13,43712.69,3466.51,1,0.8722,0.603,0.0438,Returning Client,Retail,5.0,0,0
2024-12-06,Asia-Pacific,Japan,Department Store,Accessories,Seasonal,Silk Scarf,LX-AC-01106,7,4918.75,677.28,2,0.7124,0.7356,0.0492,High Value,Clienteling,9.5,0,1
2023-09-13,North America,USA,Department Store,Leather Goods,Runway,Clutch,LX-LE-01107,9,21351.96,2293.32,2,0.7977,0.6816,0.0656,High Value,Retail,9.3,0,0
2023-11-18,Europe,Italy,Department Store,Leather Goods,Core,Clutch,LX-LE-01108,35,73113.47,2052.02,14,0.7093,0.6836,0.0602,New Client,Clienteling,8.2,0,0
2024-12-20,Asia-Pacific,China,Boutique,Leather Goods,Core,Wallet,LX-LE-01109,17,33061.4,1907.59,7,0.6963,0.669,0.0471,High Value,Clienteling,8.3,0,0
2024-09-11,Europe,France,Boutique,Women's Shoes,Core,Pump,LX-WO-01110,12,12397.38,1022.38,2,0.8258,0.5907,0.1704,High Value,E-commerce,7.7,0,0
2024-02-13,Europe,France,Department Store,Women's Shoes,Seasonal,Boot,LX-WO-01111,10,10212.45,1018.19,7,0.5753,0.6327,0.0407,New Client,Retail,7.2,0,0
2023-03-17,Asia-Pacific,Japan,Department Store,Accessories,Limited Edition,Silk Scarf,LX-AC-01112,17,15193.89,860.21,2,0.8673,0.7795,0.2021,Returning Client,E-commerce,9.6,0,1
2024-07-11,Middle East,UAE,E-commerce,Men's Shoes,Core,Sneaker,LX-ME-01113,2,1759.39,871.85,0,0.7658,0.565,0.1519,New Client,Clienteling,7.6,0,0
2023-01-18,Asia-Pacific,South Korea,Boutique,Accessories,Core,Sunglasses,LX-AC-01114,12,7859.18,633.09,5,0.6837,0.7466,0.1873,New Client,E-commerce,9.3,0,0
2023-07-08,Asia-Pacific,South Korea,Department Store,Men's Shoes,Runway,Oxford,LX-ME-01115,18,18147.67,1017.36,13,0.5751,0.5985,0.0702,Returning Client,Clienteling,6.4,0,0
2023-05-19,Asia-Pacific,South Korea,Boutique,Men's Shoes,Seasonal,Sneaker,LX-ME-01116,5,4668.45,952.26,3,0.5764,0.6113,0.1353,New Client,E-commerce,5.7,0,0
2023-08-28,North America,USA,Boutique,Men's Shoes,Core,Loafer,LX-ME-01117,20,16986.54,823.39,11,0.6272,0.5974,0.0558,Returning Client,Retail,9.1,0,0
2024-06-22,North America,USA,Boutique,Women's Shoes,Seasonal,Pump,LX-WO-01118,3,3325.43,1077.76,2,0.595,0.6358,0.0514,Returning Client,Retail,8.9,0,1
2023-11-21,Asia-Pacific,China,E-commerce,Ready-to-Wear,Core,Dress,LX-RE-01119,5,10608.05,2200.84,1,0.7756,0.5488,0.1972,Returning Client,Retail,4.6,0,0
2024-12-21,Europe,Italy,Boutique,Women's Shoes,Seasonal,Pump,LX-WO-01120,36,37224.52,1023.27,18,0.6566,0.6413,0.0556,New Client,Retail,7.7,0,1
2024-06-05,Middle East,UAE,Flagship,Accessories,Core,Belt,LX-AC-01121,23,18076.48,752.09,8,0.731,0.718,0.0545,Returning Client,Retail,10.0,0,0
2024-05-10,Middle East,UAE,Boutique,Accessories,Seasonal,Silk Scarf,LX-AC-01122,22,14903.41,680.49,7,0.7345,0.7328,0.0797,High Value,Retail,6.7,0,0
2024-03-17,North America,USA,Boutique,Accessories,Seasonal,Silk Scarf,LX-AC-01123,6,4880.78,675.41,3,0.6108,0.7127,0.0254,VIC,Clienteling,6.7,0,0
2024-12-24,Europe,Italy,Flagship,Women's Shoes,Limited Edition,Boot,LX-WO-01124,25,33189.66,1737.7,0,0.9727,0.6485,0.0772,New Client,Retail,7.0,1,0
2023-09-12,Asia-Pacific,South Korea,Flagship,Accessories,Limited Edition,Jewellery,LX-AC-01125,2,2029.47,971.04,0,0.8896,0.7828,0.0508,Returning Client,Clienteling,10.0,0,0
2024-03-20,North America,USA,Boutique,Leather Goods,Seasonal,Wallet,LX-LE-01126,18,34451.52,1852.83,8,0.6835,0.6971,0.0787,High Value,Retail,9.2,0,0
2024-11-17,North America,USA,Flagship,Men's Shoes,Seasonal,Sneaker,LX-ME-01127,7,7080.2,983.43,2,0.7163,0.6007,0.0503,High Value,Clienteling,8.9,0,0
2024-06-08,Asia-Pacific,China,Boutique,Women's Shoes,Seasonal,Sandal,LX-WO-01128,9,9016.61,964.24,3,0.7284,0.5953,0.0446,Returning Client,Retail,9.6,0,1
2023-11-27,Middle East,UAE,Boutique,Ready-to-Wear,Core,Coat,LX-RE-01129,18,43211.28,2354.71,11,0.6153,0.5892,0.0536,Returning Client,Retail,8.3,0,1
2023-04-10,Middle East,UAE,Department Store,Accessories,Limited Edition,Belt,LX-AC-01130,8,7640.2,956.46,1,0.866,0.7457,0.0651,Returning Client,Retail,6.9,0,0
2024-03-04,North America,USA,Department Store,Men's Shoes,Core,Loafer,LX-ME-01131,29,25572.79,877.87,15,0.6529,0.6119,0.0795,New Client,Retail,7.3,0,1
2024-01-06,North America,USA,Flagship,Accessories,Limited Edition,Silk Scarf,LX-AC-01132,14,15964.64,1126.81,1,0.8884,0.7816,0.0659,New Client,Clienteling,7.8,0,0
2023-07-20,Asia-Pacific,South Korea,Flagship,Accessories,Limited Edition,Silk Scarf,LX-AC-01133,5,6275.8,1201.11,0,0.8776,0.7326,0.0402,New Client,Retail,10.0,0,0
2023-08-02,North America,USA,Boutique,Ready-to-Wear,Core,Dress,LX-RE-01134,18,40738.68,2270.07,5,0.777,0.5731,0.0472,Returning Client,Retail,6.8,0,0
2023-01-24,Europe,France,Boutique,Accessories,Runway,Jewellery,LX-AC-01135,3,4179.75,1030.95,1,0.6538,0.7396,0.0155,VIC,Retail,7.1,0,0
2024-01-13,Asia-Pacific,China,Boutique,Leather Goods,Core,Tote,LX-LE-01136,22,40845.73,1911.09,9,0.6975,0.7001,0.0436,High Value,Retail,5.1,0,1
2024-08-03,Asia-Pacific,South Korea,Boutique,Men's Shoes,Seasonal,Loafer,LX-ME-01137,18,17420.32,947.89,12,0.5891,0.6232,0.0666,Returning Client,Retail,8.4,0,0
2023-12-04,North America,USA,Boutique,Ready-to-Wear,Seasonal,Dress,LX-RE-01138,3,6492.71,2095.1,0,0.7821,0.558,0.0678,Returning Client,Retail,9.2,0,1
2023-07-16,Europe,France,Flagship,Leather Goods,Core,Handbag,LX-LE-01139,3,6627.63,2209.21,1,0.6622,0.6857,0.0796,New Client,Clienteling,7.0,0,0
2023-05-29,North America,USA,Boutique,Men's Shoes,Limited Edition,Sneaker,LX-ME-01140,4,3876.94,1226.54,0,0.98,0.6685,0.1749,New Client,E-commerce,7.4,1,1
2024-09-03,North America,USA,Flagship,Ready-to-Wear,Core,Knitwear,LX-RE-01141,4,10749.46,2620.54,1,0.7808,0.5954,0.215,High Value,E-commerce,8.7,0,0
2023-12-30,Middle East,UAE,Boutique,Women's Shoes,Seasonal,Boot,LX-WO-01142,7,6801.28,958.67,3,0.6607,0.6143,0.0633,New Client,Clienteling,7.9,0,1
2024-04-01,Asia-Pacific,Japan,Department Store,Accessories,Limited Edition,Jewellery,LX-AC-01143,20,17515.7,849.04,2,0.8905,0.7655,0.1671,Returning Client,E-commerce,9.1,0,0
2024-09-22,North America,USA,Boutique,Leather Goods,Seasonal,Clutch,LX-LE-01144,23,39118.68,1721.47,14,0.6098,0.7066,0.0602,New Client,Retail,6.2,0,1
2024-11-05,Europe,France,Department Store,Ready-to-Wear,Limited Edition,Dress,LX-RE-01145,17,48073.0,3630.69,0,0.9583,0.6231,0.0485,New Client,Retail,9.1,1,0
2023-02-08,Asia-Pacific,South Korea,Department Store,Ready-to-Wear,Core,Knitwear,LX-RE-01146,23,50122.55,2205.71,8,0.7206,0.5572,0.0439,New Client,Clienteling,6.2,0,0
